Test Area,tariffCategory,genTariffCategory,broughtForwards,registerValues,meterStatus,previousReadings,currentReadings,prevDates,currDates,Expected_StatusCode,error_message,Period,Total_Units,Consumption,Fixed_Charges,Brought_Forwards,carryForwards,Total_Tax,Total_Amount,slabName,slabUnits,slabRates,slabAmounts,GenerationUnits,GenerationRate,GenTotalPrice,expectedJson,TestType
"Max units (999,999)",GV_3-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1,1,1,0,1,1,1,0","1000005,1000005,1000005,2000,1000005,1000005,1000005,10000050","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1000004.0|1000004.0|2000.0,0.0|46000184.0|30000120.0|2900000.0,5000.0,,,2023212.92,80928516.92,,,,,9000046.0,27.06,243541244.76,,FIELD_VALIDATION
Export higher than Import,GV_3-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,50000,75000,30000,154400","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,,,76410.26,3056410.26,,,,,153400.,34.5,5292300.0,,FIELD_VALIDATION
Import higher than Export,GV_3-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"100,200,20,0,100,200,300,0","20000,35000,4000,2000,500,750,400,1050","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,18850.0|34800.0|3980.0|2000.0,744575.0|1600800.0|119400.0|2900000.0,5000.0,,,137686.54,5507461.54,,,,,0,14.46,0,,FIELD_VALIDATION
Normal (Industrial Type 3 - Net Metering),GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,,,77423.08,3096923.08,,,,,4800.0,34.5,165600.0,,FIELD_VALIDATION
Units 0.0,GP_3-NP,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","1000,2000,200,0,100,200,300,0","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|0.0|0.0|0.0,0.0|0.0|0.0|0.0,5000.0,,,128.21,5128.21,,,,,,,,,FIELD_VALIDATION
Without genTariffCategory,GP_3-NP,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,"{
    ""detail"": {
        ""statusDescription"": ""Cannot calculate the electricity bill"",
        ""error"": ""Invalid value provided for Generation tariff code""
    }
}",,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous Import Reading with text,GP_3-NP,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"test,test,test,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Import Reading with text,GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","test,test,test,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous export Reading with text,GP_3-NP,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,test,test,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current export Reading with text,GP_3-NP,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,test,test","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous Import reading higher than current Reading,GP_3-NP,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Invalid readings,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,,,77423.08,3096923.08,,,,,4800.0,27.06,129888.0,,FIELD_VALIDATION
Previous Export reading higher than current Reading,GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Invalid readings,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,,,77423.08,3096923.08,,,,,4800.0,34.5,165600.0,,FIELD_VALIDATION
Previous and current reading blank,GP_3-NP,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,""" "","" "","" "",0."" "","" "","" "","" """,""" "","" "","" "",2000,"" "","" "","" "","" ""","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,type_error.none.not_allowed,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",GP_3-NP,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1,1,1,0,10,10,10,0","1000001,1000001,1000001,2000,1000010,1000010,1000010,1000001","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Should fail but not,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import register Value,GP_3-NP,SE4.1@1,,"9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"0,100,200,300,0","2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export register Value,GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1000,2000,200,0","2000,3500,400,2000","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Check meter reading data,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without all registers,GP_3-NP,SE5.6@1,,,Active,,,"2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Max Demand Value,GP_3-NP,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Check meter reading data,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Max Demand Maximum (999,999)",GP_3-NP,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,999999,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,1000.0|1500.0|200.0|999999.0,39500.0|69000.0|6000.0|1449998550.0,5000.0,,,37182514.1,1487300564.1,,,,,4800.0,27.06,129888.0,,FIELD_VALIDATION
Max Demand over 1000000,GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,1000000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,1000.0|1500.0|200.0|1000000.0,39500.0|69000.0|6000.0|1450000000.0,5000.0,,,37182551.28,1487302051.28,,,,,4800.0,34.5,165600.0,,FIELD_VALIDATION
Max Demand 0,GP_3-NP,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,0,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,1000.0|1500.0|200.0|0.0,39500.0|69000.0|6000.0|0.0,5000.0,,,3064.1,122564.1,,,,,4800.0,14.46,69408.0,,FIELD_VALIDATION
Meter Status - Inactive,GP_3-NP,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Inactive,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,GP_3-NP,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800",,"2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,GP_3-NP,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01,2026-03-01","2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31",200,,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,,,77423.08,3096923.08,,,,,4800.0,14.46,69408.0,,FIELD_VALIDATION
Without both dates,GP_3-NP,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800",,,400,,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,GP_3-NP,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01,2026-31-01","2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,GP_3-NP,SE3.4@1,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,2000.0,,77423.08,3096923.08,,,,,4800.0,37,177600.0,,FIELD_VALIDATION
"Max units (999,999)",GP_3-NP,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1,1,1,0,1,1,1,0","1000005,1000005,1000005,2000,1000005,1000005,1000005,10000050","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,1000004.0|1000004.0|1000004.0|2000.0,39500158.0|46000184.0|30000120.0|2900000.0,5000.0,,,3036037.49,121441499.49,,,,,10000050.0,27.06,270601353.0,,FIELD_VALIDATION
Export higher than Import,GP_3-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,50000,75000,30000,154400","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,1000.0|1500.0|200.0|2000.0,39500.0|69000.0|6000.0|2900000.0,5000.0,,,77423.08,3096923.08,,,,,154400.0,34.5,5326800.0,,FIELD_VALIDATION
Import higher than Export,GP_3-NP,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"100,200,20,0,100,200,300,0","20000,35000,4000,2000,500,750,400,1050","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,19900.0|34800.0|3980.0|2000.0,786050.0|1600800.0|119400.0|2900000.0,5000.0,,,138750.0,5550000.0,,,,,1050.0,14.46,15183.0,,FIELD_VALIDATION
Normal (Industrial Type 3 - Net Metering),IP_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,34.5,131100.0,,FIELD_VALIDATION
Units 0.0,IP_2-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","1000,2000,200,0,100,200,300,0","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,,30.0,0.0|0.0|0.0|0.0,0.0|0.0|0.0|0.0,5000.0,,,128.21,5128.21,,,,,,,,,FIELD_VALIDATION
Without genTariffCategory,IP_2-NA,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,"{
    ""detail"": {
        ""statusDescription"": ""Cannot calculate the electricity bill"",
        ""error"": ""Invalid value provided for Generation tariff code""
    }
}",,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous Import Reading with text,IP_2-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"test,test,test,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Import Reading with text,IP_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","test,test,test,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous export Reading with text,IP_2-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,test,test,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current export Reading with text,IP_2-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,test,test","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous Import reading higher than current Reading,IP_2-NA,SE4.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Invalid readings,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,27.06,102828.0,,FIELD_VALIDATION
Previous Export reading higher than current Reading,IP_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Invalid readings,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,34.5,131100.0,,FIELD_VALIDATION
Previous and current reading blank,IP_2-NA,SE5.6@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,""" "","" "","" "",0."" "","" "","" "","" """,""" "","" "","" "",2000,"" "","" "","" "","" ""","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",422,type_error.none.not_allowed,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",IP_2-NA,SE3.4@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1,1,1,0,10,10,10,0","1000001,1000001,1000001,2000,1000010,1000010,1000010,1000001","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",200,Should fail but not,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import register Value,IP_2-NA,SE4.1@1,,"9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"0,100,200,300,0","2000,500,750,3000,4800","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export register Value,IP_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1000,2000,200,0","2000,3500,400,2000","2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",400,Check meter reading data,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without all registers,IP_2-NA,SE5.6@1,,,Active,,,"2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01","2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
